case,class,P0,P1,P2
086.png,0,0.9936041938703308,0.004781497470210444,0.0016143199531564291
120.png,1,0.006589764398051866,0.9885309992301912,0.004879285247791363
161.png,0,0.9945580824057434,0.004237706904758085,0.0012042436817307606
196.png,0,0.9943829444849183,0.004568022113794153,0.001049019558235425
268.png,1,0.00404526772312135,0.9828929185321641,0.013061823932156161
285.png,1,0.00494637390724097,0.9876373754908294,0.007416278310900744
295.png,2,0.0004289324892675638,0.0009326719885688585,0.9986384613944459
298.png,2,0.0003610597827174287,0.02425545623206383,0.975383412756778
300.png,2,0.00018560975494190268,0.0024541561825204704,0.9973602309832688
320.png,1,0.007947030391415895,0.9882483317878312,0.00380463267130709
321.png,0,0.9921479970185867,0.00687470941948829,0.0009773224992472732
326.png,0,0.9943211644067322,0.00393361655601026,0.0017452088539439878
402.png,1,0.005403181827411406,0.9832216008256669,0.011375229702682222
404.png,2,0.00018703088277318404,0.02998571059259393,0.969827270744812
406.png,0,0.9940643251621339,0.004570779041363538,0.0013649367718731073
409.png,2,0.0004370995147361852,0.0010151271223057701,0.9985478418003311
413.png,1,0.006062716080866876,0.9871169732861619,0.006820319835835147
422.png,1,0.0076633339537228555,0.9868141456410155,0.005522475518736844
437.png,2,0.00040003407251316877,0.001076449249756636,0.9985235424099274
462.png,2,0.0008519995919058764,0.03396347348053087,0.9651845022158416
464.png,2,0.00039548004203515013,0.0010495044496918301,0.9985549957661546
473.png,2,0.0004209672913305489,0.0010106874534608643,0.9985683084563142
479.png,2,0.00046998013781595493,0.0008890062317248445,0.9986410288166414
488.png,2,0.00044816058470048087,0.01870099992925855,0.98085084546353
491.png,2,0.00041351740362670055,0.0009698366235492399,0.9986166565134462
496.png,1,0.017443637154901836,0.9620820133478318,0.020474343080932506
528.png,2,0.0005547172146510957,0.0009055725690065605,0.998539732515329
535.png,2,0.0005360174231849769,0.0008907833507459758,0.9985732256222137
546.png,2,0.000547189244806316,0.0009063881162381548,0.9985463636097565
548.png,2,0.0004194796233691525,0.000944094981431032,0.9986364244854127
555.png,2,0.0005542378919030814,0.0009013647536050572,0.9985444439050017
560.png,2,0.00023086746748469483,0.005870832517462386,0.9938982995155259
562.png,2,0.0005717280205966362,0.0008973907833038215,0.9985309167187715
