case,class,P0,P1,P2
086.png,0,0.999988317489624,1.1663378245430067e-05,1.4514587309832905e-09
120.png,1,0.0010831758845597506,0.9989157915115356,1.0947728696919512e-06
161.png,0,0.9999773502349854,2.2679121684632264e-05,1.4626068356449196e-08
196.png,0,0.9999992847442627,7.403639870062761e-07,3.516342772513781e-10
268.png,1,0.0011860972736030817,0.9954749941825867,0.0033388957381248474
285.png,1,0.00033436957164667547,0.9996355772018433,3.0074468668317422e-05
295.png,2,3.697615014175426e-08,7.77531968196854e-05,0.9999222755432129
298.png,2,1.8667406038730405e-05,0.02462022751569748,0.9753609895706177
300.png,2,2.215665375615572e-07,0.0004485129611566663,0.9995512366294861
320.png,1,0.000336834869813174,0.9993360638618469,0.00032704215846024454
321.png,0,0.9995904564857483,0.0004092399321962148,3.507761050514091e-07
326.png,0,0.9999568462371826,4.3041902245022357e-05,8.434209775032286e-08
402.png,1,0.00023108672758098692,0.9903531670570374,0.009415754117071629
404.png,2,1.3165961718186736e-05,0.05815958231687546,0.9418272972106934
406.png,0,0.9999895095825195,1.0515203030081466e-05,1.4930513492217301e-09
409.png,2,1.4958830263367418e-07,0.00017558527179062366,0.9998243451118469
413.png,1,0.00016025551303755492,0.9997805953025818,5.9120746300322935e-05
422.png,1,0.000695581897161901,0.9992218017578125,8.256548608187586e-05
437.png,2,4.238336259732023e-08,3.708888834808022e-05,0.9999629259109497
462.png,2,9.07093124169478e-07,8.639395673526451e-05,0.9999126195907593
464.png,2,6.864267447781458e-07,0.00018962522153742611,0.9998096823692322
473.png,2,1.1091845664168432e-08,1.0338229913031682e-05,0.9999896287918091
479.png,2,1.6306257677456415e-08,7.46651494409889e-06,0.9999924898147583
488.png,2,4.941044551287632e-08,0.00018412906501907855,0.9998158812522888
491.png,2,1.0785837112337049e-08,1.3613496776088141e-05,0.9999864101409912
496.png,1,0.00509199034422636,0.9560393691062927,0.03886864706873894
528.png,2,5.810335768074992e-09,4.405597792356275e-06,0.9999955892562866
535.png,2,8.718188837519847e-09,2.5594461021682946e-06,0.9999974966049194
546.png,2,4.321791813310938e-09,9.359036084788386e-06,0.9999905824661255
548.png,2,1.738526478334279e-08,1.0953958735626657e-05,0.9999890327453613
555.png,2,1.6204229069671783e-08,7.297896900126943e-06,0.9999927282333374
560.png,2,1.1492774376620218e-07,0.00029772103880532086,0.9997021555900574
562.png,2,3.0457703026343097e-09,3.5011851196031785e-06,0.999996542930603
564.png,2,1.1327207261047079e-07,8.868137956596911e-05,0.9999111890792847
569.png,2,1.3231874618213624e-07,0.0002070253831334412,0.9997928738594055
571.png,2,1.0728822275041239e-08,5.426254119811347e-06,0.9999945163726807
576.png,2,8.02524198206811e-08,1.1358471965650097e-05,0.9999885559082031
578.png,2,6.679134134657261e-09,5.246256478130817e-06,0.9999947547912598
579.png,2,6.584509382179249e-09,3.0614551178587135e-06,0.9999969005584717
587.png,2,9.408219092676973e-09,4.067742338520475e-06,0.9999959468841553
589.png,2,1.842134089713454e-08,1.0158703844354022e-05,0.9999898672103882
599.png,2,1.2274473881745962e-08,3.785765102293226e-06,0.9999961853027344
608.png,2,8.815610463841494e-09,4.089321919309441e-06,0.9999959468841553
610.png,2,1.2439478780379432e-08,5.7615043260739185e-06,0.9999942779541016
611.png,1,7.459783228114247e-05,0.9980847835540771,0.0018406567396596074
612.png,2,7.687030567637976e-09,5.7915162869903725e-06,0.999994158744812
618.png,2,2.4802837117476884e-08,9.237652193405665e-06,0.9999908208847046
621.png,2,1.4457039121396065e-08,1.180265098810196e-05,0.9999881982803345
623.png,2,3.93944343812791e-09,3.983089754910907e-06,0.9999960660934448
626.png,2,1.2650795966351325e-08,8.373280252271798e-06,0.9999916553497314
627.png,1,0.0002615276025608182,0.999529242515564,0.00020930389291606843
630.png,2,2.7031379090658447e-07,0.0002603553584776819,0.9997393488883972
631.png,2,5.307895012407471e-09,2.8516699330793926e-06,0.9999971389770508
632.png,2,2.655068101375946e-06,0.0054048276506364346,0.9945926070213318
633.png,2,1.3684959832005461e-08,2.3357080863206647e-05,0.999976634979248
634.png,2,9.781805587749659e-09,5.967504421278136e-06,0.9999940395355225
635.png,2,3.275446758266298e-08,5.821256763738347e-06,0.999994158744812
636.png,2,8.339994472805756e-09,3.645036485977471e-06,0.9999963045120239
638.png,2,7.787079425725096e-09,1.4122052562015597e-05,0.999985933303833
639.png,2,4.118532181962564e-09,2.948989049400552e-06,0.9999970197677612
641.png,2,3.4192787268239044e-08,8.830415936245117e-06,0.9999911785125732
648.png,2,4.724183236248791e-05,0.2861780524253845,0.7137747406959534
649.png,2,2.7755117315564348e-08,3.09976858261507e-05,0.9999690055847168
651.png,2,2.7924179448746145e-06,0.003753995755687356,0.9962431192398071
652.png,2,1.7141571788670262e-06,0.006854197010397911,0.993144154548645
653.png,2,1.001872504957646e-07,5.760498606832698e-05,0.9999423027038574
655.png,2,1.7039575084254466e-07,0.00012483987666200846,0.9998750686645508
656.png,2,7.935682333481964e-09,6.651903277088422e-06,0.9999933242797852
657.png,2,4.8272799091364504e-09,3.4490449252189137e-06,0.999996542930603
661.png,2,3.869537223977204e-08,3.6930839996784925e-05,0.9999630451202393
663.png,2,8.685703392075084e-07,0.0008840376976877451,0.9991151690483093
664.png,2,2.526140185921122e-08,7.911896318546496e-06,0.9999921321868896
719.png,2,7.649704869550078e-09,5.855321433045901e-06,0.999994158744812
727.png,2,2.1042421849415405e-07,0.00037493990384973586,0.9996248483657837
728.png,2,6.1044684862565646e-09,3.0365708880708553e-06,0.9999970197677612
729.png,2,1.4265263637014414e-08,1.8283741155755706e-05,0.9999817609786987
736.png,2,6.205674196735345e-09,8.989779416879173e-06,0.9999910593032837
737.png,1,0.024467868730425835,0.9744037985801697,0.0011284071952104568
741.png,2,9.74202407633129e-09,2.043069980572909e-05,0.9999796152114868
756.png,2,1.2413294392388252e-08,1.860663905972615e-05,0.9999814033508301
758.png,1,9.666191908763722e-05,0.9970178604125977,0.0028855069540441036
770.png,2,2.4564047635067254e-05,0.10566413402557373,0.8943113088607788
771.png,2,3.3117968367690764e-09,2.9096033813402755e-06,0.9999971389770508
776.png,2,8.328219891495792e-09,5.030311967857415e-06,0.9999949932098389
779.png,2,6.379347183838036e-08,6.0281094192760065e-05,0.9999395608901978
782.png,2,6.206275049436272e-09,3.697624151755008e-06,0.9999963045120239
783.png,2,1.638040636464666e-08,1.3804393347527366e-05,0.9999861717224121
785.png,2,5.349796161624454e-09,3.8056637094996404e-06,0.9999961853027344
786.png,2,0.00012970346142537892,0.059052858501672745,0.9408174753189087
787.png,2,2.8897883908030053e-07,0.00034771894570440054,0.9996520280838013
788.png,2,8.185497222257254e-07,0.000560690532438457,0.999438464641571
789.png,2,1.1511784414608428e-08,1.3940099961473607e-05,0.9999860525131226
792.png,2,1.4808730242066304e-08,7.1555832619196735e-06,0.999992847442627
793.png,2,1.0799126926031022e-07,0.0001539108343422413,0.9998459815979004
794.png,2,4.797400254830109e-09,2.1096548152854666e-06,0.9999978542327881
797.png,2,1.1720118209268549e-06,0.002572353696450591,0.997426450252533
799.png,2,6.319095291473786e-07,0.00026310389512218535,0.9997362494468689
800.png,2,1.4700394679323381e-08,4.37252265328425e-06,0.9999955892562866
802.png,2,1.064446575327338e-08,1.4206014384399168e-05,0.9999858140945435
806.png,1,4.692632865044288e-05,0.9997527003288269,0.00020042789401486516
825.png,2,7.288003871508408e-06,0.01404370367527008,0.9859490394592285
826.png,2,6.618955694648321e-08,4.617461308953352e-05,0.9999537467956543
828.png,1,0.000491772429086268,0.5881506204605103,0.4113576114177704
829.png,2,3.948684224042154e-08,3.038351860595867e-05,0.9999696016311646
833.png,2,9.143310535364435e-07,0.0015484719770029187,0.998450517654419
834.png,2,1.125528115153429e-06,0.0007998078945092857,0.9991990923881531
838.png,2,9.070272062672302e-05,0.13021953403949738,0.8696897625923157
840.png,1,0.014730185270309448,0.9850702285766602,0.00019954910385422409
865.png,0,0.9999997615814209,2.4590954694758693e-07,5.376162293124764e-10
868.png,0,0.9999164342880249,8.355393947567791e-05,1.2892207301717917e-08
871.png,2,1.0681947770763145e-08,4.8695278564991895e-06,0.9999951124191284
878.png,0,0.9999779462814331,2.209119702456519e-05,3.049580854508349e-08
882.png,2,1.4513879875721614e-07,0.0001242293801624328,0.9998756647109985
883.png,1,6.747108272975311e-05,0.9997404217720032,0.0001920626382343471
884.png,2,6.6059495651416e-09,7.996032763912808e-06,0.9999920129776001
885.png,2,4.281759835578214e-09,5.625796802632976e-06,0.9999943971633911
886.png,2,1.268049629743473e-07,0.0007429621182382107,0.9992569088935852
887.png,1,2.6458908905624412e-05,0.9977816939353943,0.0021919021382927895
888.png,2,2.8802591600651795e-07,0.001154327648691833,0.9988454580307007
889.png,1,4.775910565513186e-05,0.9995710253715515,0.0003811746428254992
890.png,2,7.388892299786676e-06,0.08529329299926758,0.9146992564201355
891.png,2,6.020456453370571e-07,0.003908903803676367,0.9960904717445374
892.png,2,6.150699505269586e-08,0.00017183231830131263,0.9998279809951782
893.png,2,1.1599685478813626e-07,0.00016202384722419083,0.9998378753662109
894.png,2,6.072141900403949e-09,6.317308816505829e-06,0.9999936819076538
895.png,0,0.9995881915092468,0.00041146567673422396,3.9033301391100395e-07
896.png,1,0.0001599090319359675,0.9998039603233337,3.618108530645259e-05
897.png,1,6.0402646340662614e-05,0.9992477893829346,0.0006918942672200501
898.png,2,1.1164643183292355e-06,0.0016791683156043291,0.998319685459137
899.png,1,0.0027717913035303354,0.9972189664840698,9.209989912051242e-06
900.png,2,1.9500504322422785e-07,0.0017275131540372968,0.998272180557251
901.png,1,1.9288610928924754e-05,0.9791568517684937,0.020823869854211807
902.png,1,0.00042053262586705387,0.9994401335716248,0.00013934609887655824
903.png,1,6.958195444894955e-05,0.9995169639587402,0.0004134679911658168
904.png,2,8.231442905071162e-08,7.244958396768197e-05,0.9999274015426636
905.png,1,0.0009899238357320428,0.9804556369781494,0.018554409965872765
906.png,1,0.033765602856874466,0.965116560459137,0.0011178248096257448
907.png,2,1.3814032229220174e-07,0.00033875598455779254,0.9996610879898071
908.png,2,3.141284921071019e-08,5.1718303438974544e-05,0.999948263168335
909.png,1,0.0002011814503930509,0.9943925738334656,0.005406226962804794
910.png,1,0.0009749130113050342,0.998994767665863,3.026183730980847e-05
911.png,0,0.9999866485595703,1.3351131201488897e-05,8.547270446968014e-09
912.png,1,0.0001786666689440608,0.9997196793556213,0.00010157583164982498
913.png,0,0.999976634979248,2.3333903300226666e-05,5.5745883464908275e-09
914.png,1,0.0003086629731114954,0.9880037307739258,0.011687676422297955
915.png,1,0.00017565858433954418,0.9997640252113342,6.030977965565398e-05
916.png,1,0.0004087051493115723,0.9994926452636719,9.858058911049739e-05
917.png,1,0.0002888249873649329,0.9982020854949951,0.0015091163804754615
918.png,1,0.01117317657917738,0.9881149530410767,0.0007118132780306041
919.png,1,0.0013880901969969273,0.9983933568000793,0.00021848900360055268
920.png,1,0.0001841250923462212,0.9997265934944153,8.92675670911558e-05
922.png,2,3.820134395482455e-07,0.00017696766008157283,0.9998226761817932
923.png,1,0.0011502845445647836,0.9975854158401489,0.0012642648071050644
924.png,0,0.9999856948852539,1.4291579645941965e-05,1.5215620763342486e-08
925.png,1,7.429927336488618e-06,0.9868268966674805,0.013165704905986786
926.png,1,4.981377787771635e-05,0.999025821685791,0.0009243090753443539
927.png,0,0.9997331500053406,0.00026685596094466746,6.374622163463073e-09
928.png,2,7.892868438830192e-07,0.0007070970023050904,0.9992920160293579
929.png,2,2.136276933129011e-08,2.7532983949640766e-05,0.9999724626541138
930.png,2,5.469695807391872e-08,0.00020903708355035633,0.9997909665107727
931.png,2,5.007100511988938e-09,6.92431513016345e-06,0.999993085861206
932.png,1,0.0006546569056808949,0.9993380904197693,7.2276870923815295e-06
933.png,2,4.156477473316045e-08,1.0558139365457464e-05,0.99998939037323
934.png,2,3.257356340213846e-08,7.118549547158182e-06,0.999992847442627
935.png,1,0.0001897721376735717,0.9998049139976501,5.388315912568942e-06
936.png,2,3.772046142103136e-08,4.1729559598024935e-05,0.9999582767486572
937.png,2,5.1323567618055677e-08,2.2419846573029645e-05,0.9999775886535645
939.png,2,1.281258477092706e-07,0.00037380249705165625,0.9996260404586792
940.png,2,1.6582301896050922e-06,0.0008530039922334254,0.9991452693939209
941.png,2,1.5907791350855405e-07,0.0003433408564887941,0.9996565580368042
942.png,2,3.5729086356184325e-09,5.30358965988853e-06,0.9999947547912598
943.png,2,3.184654673304976e-08,1.9218439774704166e-05,0.9999808073043823
944.png,1,0.0015121879987418652,0.8772710561752319,0.12121674418449402
945.png,2,7.55330802348908e-07,0.0002536016399972141,0.9997456669807434
946.png,2,4.749939307657769e-06,0.0031080730259418488,0.9968871474266052
947.png,2,1.3707450285949108e-08,1.200451788463397e-05,0.9999879598617554
948.png,1,0.00030313379829749465,0.9866820573806763,0.013014871627092361
949.png,1,0.0005100528942421079,0.6681805849075317,0.33130940794944763
950.png,1,0.00016936527390498668,0.8320848941802979,0.1677457094192505
951.png,2,7.76635360466571e-08,0.0002324140805285424,0.9997674822807312
952.png,1,0.02787105180323124,0.9667357802391052,0.0053931837901473045
953.png,1,0.0004032043507322669,0.9995349645614624,6.187919643707573e-05
954.png,1,0.0003556881856638938,0.9995782971382141,6.596772436751053e-05
955.png,1,0.00014642775931861252,0.9996464252471924,0.00020714178390335292
956.png,2,4.806868858509006e-08,0.00011560947314137593,0.9998843669891357
957.png,2,1.3461310288676032e-08,6.271705387916882e-06,0.9999936819076538
958.png,2,6.5253034087220385e-09,8.001952664926648e-06,0.9999920129776001
959.png,2,1.5128996722069132e-08,1.3002601008338388e-05,0.999987006187439
960.png,2,7.56916840316535e-09,5.66266226087464e-06,0.9999942779541016
961.png,2,3.237117562093772e-05,0.015836915001273155,0.9841306805610657
962.png,2,5.40780087376902e-09,1.1466875548649114e-05,0.9999885559082031
963.png,2,4.184559809772281e-09,1.1287235793133732e-05,0.9999886751174927
964.png,1,2.04814386961516e-05,0.7185072898864746,0.28147220611572266
965.png,2,4.0350915497811e-08,0.0001275498216273263,0.9998724460601807
966.png,2,4.6612513848742765e-09,4.7440134949283674e-06,0.999995231628418
967.png,2,1.771351890056394e-06,0.008388204500079155,0.9916099905967712
968.png,2,1.2900299850571173e-07,0.000810273690149188,0.999189555644989
969.png,2,1.1912814734671429e-08,2.0847184714511968e-05,0.9999791383743286
970.png,2,5.8627507293351755e-09,5.587794930761447e-06,0.9999943971633911
971.png,2,3.297651929301537e-08,3.7842273741262034e-05,0.9999622106552124
